board,post_url,title,monthly_twd,annualised_twd
Tech_Job,https://www.ptt.cc/bbs/Tech_Job/M.1781107598.A.937.html,[討論] ［備份］[請益] offer請益 joe617001,250000,3000000
Tech_Job,https://www.ptt.cc/bbs/Tech_Job/M.1780404999.A.705.html,Re: [請益] 大齡重讀大學 清大動機系vs清大工科系,100000,1200000
Tech_Job,https://www.ptt.cc/bbs/Tech_Job/M.1780637840.A.F1B.html,[請益] RF碩班的技能樹該怎麼點,83333,1000000
Tech_Job,https://www.ptt.cc/bbs/Tech_Job/M.1780676495.A.B40.html,[請益] 研發替代役offer 請益,95833,1150000
Tech_Job,https://www.ptt.cc/bbs/Tech_Job/M.1780676495.A.B40.html,[請益] 研發替代役offer 請益,75000,900000
Tech_Job,https://www.ptt.cc/bbs/Tech_Job/M.1780676495.A.B40.html,[請益] 研發替代役offer 請益,166667,2000000
Tech_Job,https://www.ptt.cc/bbs/Tech_Job/M.1779803783.A.F93.html,[請益] offer請益,416667,5000000
Tech_Job,https://www.ptt.cc/bbs/Tech_Job/M.1779803783.A.F93.html,[請益] offer請益,41667,500000
Tech_Job,https://www.ptt.cc/bbs/Tech_Job/M.1778513569.A.0B0.html,[請益] Offer請益,50000,600000
Soft_Job,https://www.ptt.cc/bbs/Soft_Job/M.1780540360.A.2FC.html,[請益] 成人平台領U有辦法貸款?,30000,360000
Soft_Job,https://www.ptt.cc/bbs/Soft_Job/M.1781577814.A.E35.html,[請益] 金融offer請益,200000,2400000
Soft_Job,https://www.ptt.cc/bbs/Soft_Job/M.1778038426.A.682.html,[徵才] 台塑仁武廠誠徵自動化工程師,31000,372000
Soft_Job,https://www.ptt.cc/bbs/Soft_Job/M.1775186906.A.ACC.html,[請益] 博弈 offer 請益,160000,1920000
Soft_Job,https://www.ptt.cc/bbs/Soft_Job/M.1775198855.A.B4B.html,Re: [請益] 博弈 offer 請益,82000,984000
Soft_Job,https://www.ptt.cc/bbs/Soft_Job/M.1775830571.A.072.html,[請益] QA Offer請益,47000,564000
Soft_Job,https://www.ptt.cc/bbs/Soft_Job/M.1775830571.A.072.html,[請益] QA Offer請益,70000,840000
Soft_Job,https://www.ptt.cc/bbs/Soft_Job/M.1773074695.A.03B.html,[請益] 想問大家對於資策會的看法,62000,744000
Soft_Job,https://www.ptt.cc/bbs/Soft_Job/M.1773160786.A.4A1.html,Re: [請益] 想問大家對於資策會的看法,30000,360000
Soft_Job,https://www.ptt.cc/bbs/Soft_Job/M.1772416533.A.A19.html,[請益] 軟體業薪資,250000,3000000
Soft_Job,https://www.ptt.cc/bbs/Soft_Job/M.1769742562.A.D92.html,[徵才]法務部調查局資安分析師,63218,758616
Soft_Job,https://www.ptt.cc/bbs/Soft_Job/M.1769742562.A.D92.html,[徵才]法務部調查局資安分析師,70375,844500
Salary,https://www.ptt.cc/bbs/Salary/M.1777361360.A.3B7.html,Fw: [請益] 快退休了，勞保該怎麼決定投保級距,90000,1080000
